"subjid","survey","primary_pct_cor","primary_pct_fid","secondary_pct_cor","secondary_pct_fid","tertiary_pct_cor","tertiary_pct_fid"
"CAP1005","ebpP2",100,68.75,60,77.78,66.67,88
"CAP1011","ebpP2",60,85,33.33,66.67,33.33,0
"CAP1022","ebpP2",60,95,50,88.24,66.67,94.44
"CAP1038","ebpP2",0,100,75,100,75,94.74
"CAP1045","ebpP2",66.67,63.16,75,25,50,72.22
"CAP1049","ebpP2",60,25,50,0,100,0
"CAP1053","ebpP2",75,100,50,93.75,33.33,94.12
"CAP1078","ebpP2",50,82.35,NA,NA,NA,NA
"CAP1079","ebpP2",60,95.83,50,100,33.33,79.41
"CAP1090","ebpP2",60,75,50,82.35,100,84.21
"CAP1092","ebpP2",33.33,59.38,100,68.42,60,70
"CAP1093","ebpP2",50,64.29,60,79.17,50,78.95
"CAP1133","ebpP2",100,68.42,100,68.42,75,84.21
"CAP1138","ebpP2",66.67,72.73,40,81.25,0,100
"CAP1165","ebpP2",50,68.75,100,47.06,100,92.86
"CAP1174","ebpP2",50,93.75,75,94.44,100,100
"CAP1175","ebpP2",33.33,0,25,81.25,80,0
"CAP1183","ebpP2",60,75,50,84.21,66.67,80.77
"CAP1213","ebpP2",NA,NA,100,NA,NA,NA
"CAP1245","ebpP2",100,84.21,66.67,87.18,100,96.15
"CAP1254","ebpP2",66.67,90.32,100,73.33,75,82.35
"CAP1263","ebpP2",100,100,60,87.5,75,100
"CAP1276","ebpP2",100,68.42,50,62.5,33.33,84.21
"CAP1306","ebpP2",100,84.62,66.67,100,NA,NA
"CAP1307","ebpP2",60,100,66.67,100,100,100
"CAP1308","ebpP2",25,86.67,66.67,94.44,0,95
"CAP1309","ebpP2",75,100,50,100,0,95
"CAP1318","ebpP2",50,87.5,60,75,33.33,68.75
"CAP1337","ebpP2",60,80,NA,NA,66.67,86.96
"CAP1339","ebpP2",60,95.83,NA,NA,0,100
"CAP1341","ebpP2",75,80,75,96.15,100,94.74
"CAP1354","ebpP2",25,93.75,75,100,50,86.67
"CAP1358","ebpP2",60,85,66.67,100,33.33,82.05
"CAP1362","ebpP2",100,100,66.67,100,40,100
"CAP1368","ebpP2",100,94.74,66.67,94.74,33.33,42.86
"CAP1371","ebpP2",100,78.95,60,83.33,50,25
"CAP1374","ebpP2",50,78.57,50,68.42,75,72.22
"CAP1384","ebpP2",50,92.86,100,100,50,89.47
"CAP1386","ebpP2",60,85,100,76.92,50,62.5
"CAP1389","ebpP2",75,100,100,100,33.33,100
"CAP1424","ebpP2",100,100,75,100,50,100
"CAP1446","ebpP2",50,100,66.67,94.74,60,95.83
"CAP1451","ebpP2",40,95.83,50,100,75,68.75
"CAP1455","ebpP2",20,87.5,100,89.47,66.67,89.47
"CAP1456","ebpP2",100,86.96,75,84.62,66.67,88.24
"CAP1487","ebpP2",40,91.67,66.67,100,100,100
"CAP1500","ebpP2",0,84.21,25,81.25,75,83.33
"CAP1510","ebpP2",100,100,50,100,40,100
"CAP1558","ebpP2",100,84.62,100,93.33,75,100
"CAP1572","ebpP2",66.67,73.91,66.67,89.47,50,89.47
"CAP1613","ebpP2",75,78.26,50,75,50,73.68
"CAP1621","ebpP2",60,95.83,50,100,100,100
"CAP1631","ebpP2",100,100,40,65,100,72.22
"CAP1635","ebpP2",50,100,100,95.45,50,100
"CAP1666","ebpP2",50,87.5,75,94.44,40,80
"CAP1675","ebpP2",50,80,25,75,33.33,78.95
"CAP1701","ebpP2",100,100,0,88.89,100,94.74
"CAP1702","ebpP2",75,100,33.33,68.75,75,100
"CAP1746","ebpP2",50,100,100,89.47,100,96.88
"CAP1749","ebpP2",66.67,100,33.33,90.32,25,100
"CAP1750","ebpP2",40,91.67,50,81.25,66.67,78.26
"CAP1766","ebpP2",0,NA,NA,NA,NA,NA
"CAP1767","ebpP2",100,100,75,94.74,100,100
"CAP1768","ebpP2",33.33,73.68,100,89.47,50,100
"CAP1770","ebpP2",100,89.47,100,100,75,94.74
"CAP1771","ebpP2",60,100,75,100,100,100
