"subjid","cadre_id","status","selpa_final","district_final","district_size","role","job_title","gender","ethnicity","race","age","socio_disadvantaged_percentage","performance_score_avg","exp_asd","years_participation","ebp_use_primary_quality_outcome","ebp_use_secondary_quality_outcocme","ebp_use_tertiary_quality_outcome","pct_correct_avg","pct_fidelity_avg","primary_pct_cor","primary_pct_fid","ebp_res_partnership_avg","ebp_res_strategic_planning_avg","ebp_res_org_capacity_avg","ebp_res_total","use_data","ics_focus_ebp","ics_edu_support","ics_recog_ebp","ics_rewards_ebp","ics_selection_ebp","ics_selection_open","ics_exist_sup_ebp","ics_exist_use_data","ics_total","ics_total_narm"
"CAP100","CC0566","Eligible","San Juan Unified SELPA","San Juan Unified",39805,"Specialist","Program Specialist","Female","No","White","55 - 64",0.54,20.57,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,0,7,10,6,5,3,6,10,7,54,54
"CAP1000",NA,"Eligible","San Diego North Coastal SELPA","Del Mar Union Elementary",4453,"DSP","SLP/SLPA","Female","No","White","35 - 44",0.43,NA,3,NA,2,2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,4,3,7,1,0,26,26
"CAP1001",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1002",NA,"Eligible","Ventura SELPA","Ventura Unified",16813,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.52,NA,2,NA,2.5,1.5,2.75,NA,NA,NA,NA,NA,NA,NA,NA,1,12,9,8,4,7,9,3,7,59,59
"CAP1004",NA,"Eligible","Mendocino SELPA","Ukiah Unified",5986,"Director","Director of Special Education","Female","No","White","35 - 44",0.74,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.75,1,NA,NA,0,1,5,3,2,6,6,6,4,33,33
"CAP1005",NA,"Eligible","San Diego City Unified SELPA","San Diego Unified",104801,"DSP","Special Education Teacher (serving on a single school site)","Male","Yes","Other","35 - 44",0.59,NA,2,NA,1.5,1.75,1,0.76,0.78,100,68.75,NA,NA,NA,NA,1,5,1,9,0,3,1.5,1,3,23.5,23.5
"CAP1006",NA,"Eligible","East San Gabriel Valley SELPA","Glendora Unified",7444,"DSP","Paraprofessional","Female","Decline to answer","2 or more of the above","25 - 34",0.58,NA,2,NA,2.75,2.25,2,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,6,2,8,6,7,6,51,51
"CAP1007",NA,"Eligible","Clovis SELPA","Clovis Unified",42741,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.43,NA,2,NA,3.5,3.5,3.75,NA,NA,NA,NA,NA,NA,NA,NA,1,12,10,8,0,NA,NA,NA,NA,NA,30
"CAP1008",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1009",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.34,NA,3,NA,3.75,2.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,2,5,9,9
"CAP101","CC0475","Eligible","Riverside County SELPA","Val Verde Unified",20244,"Administrator","Psychologist","Male","No","White","35 - 44",0.74,60.75,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0,6,9,11,5,6,12,10,14,73,73
"CAP1010",NA,"Eligible","West Contra Costa Unified SELPA","West Contra Costa Unified",28457,"DSP","Special Education Teacher (serving on a single school site)","Male","No","Asian","35 - 44",0.72,NA,1,NA,3.25,3,2.25,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,1,0,2,1,0,8,8
"CAP1011",NA,"Eligible","Ventura SELPA","Ventura Unified",16813,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.52,NA,3,NA,2,2.25,2.5,0.42,0.51,60,85,NA,NA,NA,NA,1,11,9,6,0,2,6,7,3,44,44
"CAP1012",NA,"Eligible","West Contra Costa Unified SELPA","West Contra Costa Unified",28457,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.72,NA,3,NA,2.25,1.75,2.25,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,6,0,3,4,3,2,26,26
"CAP1013",NA,"Eligible","Ventura SELPA","Ventura Unified",16813,"Specialist","Behavior Specialist","Female","No","White","55 - 64",0.52,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,0,6,11,10,2,3,3,9,8,52,52
"CAP1014",NA,"Eligible","Anaheim City SELPA","Anaheim Elementary",17671,"DSP","Paraprofessional","Female","Yes","Black, African American","18 - 24",0.87,NA,3,NA,3.5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,12,12,12,6,12,12,12,16,94,94
"CAP1015",NA,"Eligible","Irvine Unified SELPA","Irvine Unified",35617,"Specialist","Behavior Specialist","Female","No","White","35 - 44",0.19,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,0,4,6,8,1,4,6,4,2,35,35
"CAP1016",NA,"Eligible","Ventura SELPA","Simi Valley Unified",16801,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.52,NA,3,4,3.75,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,6,2,4,3,4,7,44,44
"CAP1017",NA,"Eligible","Ventura SELPA","Moorpark Unified",6285,"DSP","SLP/SLPA","Female","No","White","45 - 54",0.52,NA,1,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,NA,NA,NA,NA,NA,NA,NA,5
"CAP1018",NA,"Eligible","Irvine Unified SELPA","Irvine Unified",35617,"DSP","Paraprofessional","Female","No","White","55 - 64",0.19,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,0,9,6,3,0,6,6,6,8,44,44
"CAP1019",NA,"Eligible","ABC Unified SELPA","ABC Unified",20550,"Specialist","Program Specialist","Male","Yes","American Indian or Alaskan Native","25 - 34",0.52,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0,6,9,3,2,5,1,3,16,45,45
"CAP1021",NA,"Eligible","Yolo County SELPA","Winters Joint Unified",1531,"DSP","Special Education Teacher (serving on a single school site)","Female","Decline to answer","Decline to answer","55 - 64",0.55,NA,3,NA,2.75,2.5,1.75,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,6,4.5,6,6,6,8,52.5,52.5
"CAP1022",NA,"Eligible","San Diego North Coastal SELPA","Del Mar Union Elementary",4453,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.43,NA,3,NA,NA,NA,NA,0.59,0.92,60,95,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1023",NA,"Eligible","Ventura SELPA",NA,NA,"Administrator","Coordinator","Female","No","White","45 - 54",0.52,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5.6,5,6.2,84,0,11,9,11,5,12,9,11,11,79,79
"CAP1024",NA,"Eligible","Yolo County SELPA","Winters Joint Unified",1531,"DSP","Special Education Teacher (serving on multiple school sites)","Female","No","White","55 - 64",0.55,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,1,3,3
