subjId,Job_title_Coded,received_training_from_cadre,ebps_received_training_from_cadre,primary_intervention,secondary_intervention,tertiary_intervention,ebp_count,ebP_name,ebP_rename,ebP_abbrev,pct_correct,pct_fidelity,cadre_trained_ebp,intervention_no,intervention_1,intervention_2,intervention_3,intervention_extra,filter_$,cadre_train,cadre_train_yes,filter_$3,pct_fid_reflect,pct_fid_reflect_sqrt,pct_fid_reflect_lg,above_85_fid,pct_fid_3,above_80_fid,ebpP2,district,Job_title_Coded_S,received_training_from_cadre_S,ebps_received_training_from_cadre_S,primary_intervention_S,secondary_intervention_S,tertiary_intervention_S,survey,status,selpa_final,district_final,district_size,gender,ethnicity,race,age,selpa_code,Job_title_code,Setting,Role_Coded,Role,Job_Title,Credential,Edu_level,selpa_level,district_level,school_level,SELPA_List_original,EBP_know,exp_ASD,SELPA_List,selpa_list_code
CAP1005,Special Education Teacher (serving on a single school site),No, ,Modeling (MD),Visual Supports (VS),Video Modeling (VM),3,Visual Supports,Visual Supports,VS,60,77.77777778,0,2, ,2, , ,0,1,0,1,23.22222222,5.022173058,1.384213984,0,1,0,R_1CKiW7FRyFCoS08,R_7UGgDJfMpiii9jj,Special Education Teacher (serving on a single school site),No, ,Modeling (MD),Visual Supports (VS),Video Modeling (VM),ebpP2,Eligible,San Diego City Unified SELPA,San Diego Unified,104801,Male,Yes,Other,35 - 44,44,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Moderate Severe,Masters,District,at one individual school site,Middle School,San Diego City Unified SELPA,Some knowledge,Moderate experience,San Diego City Unified SELPA,48
CAP1005,Special Education Teacher (serving on a single school site),No, ,Modeling (MD),Visual Supports (VS),Video Modeling (VM),3,Modeling,Modeling,MD,100,68.75,0,1,1, , , ,1,1,0,1,32.25,5.852349955,1.52179165,0,1,0,R_1CKiW7FRyFCoS08,R_7UGgDJfMpiii9jj,Special Education Teacher (serving on a single school site),No, ,Modeling (MD),Visual Supports (VS),Video Modeling (VM),ebpP2,Eligible,San Diego City Unified SELPA,San Diego Unified,104801,Male,Yes,Other,35 - 44,44,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Moderate Severe,Masters,District,at one individual school site,Middle School,San Diego City Unified SELPA,Some knowledge,Moderate experience,San Diego City Unified SELPA,48
CAP1005,Special Education Teacher (serving on a single school site),No, ,Modeling (MD),Visual Supports (VS),Video Modeling (VM),3,Video Modeling,Video Modeling,VM,66.66666667,88,0,3, , ,3, ,0,1,0,1,13,3.872983346,1.146128036,1,2,1,R_1CKiW7FRyFCoS08,R_7UGgDJfMpiii9jj,Special Education Teacher (serving on a single school site),No, ,Modeling (MD),Visual Supports (VS),Video Modeling (VM),ebpP2,Eligible,San Diego City Unified SELPA,San Diego Unified,104801,Male,Yes,Other,35 - 44,44,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Moderate Severe,Masters,District,at one individual school site,Middle School,San Diego City Unified SELPA,Some knowledge,Moderate experience,San Diego City Unified SELPA,48
CAP1011,Special Education Teacher (serving on a single school site),Not sure, ,Visual Supports (VS),Prompting (PP),Exercise (ECE),3,Visual Supports,Visual Supports,VS,60,85,0,1,1, , , ,1,2,0,1,16,4.242640687,1.230448921,0,1,1,R_1ikrLWoFBdrDaea,R_27j527dHul9LPBd,Special Education Teacher (serving on a single school site),Not sure, ,Visual Supports (VS),Prompting (PP),Exercise (ECE),ebpP2,Eligible,Ventura County SELPA,Ventura Unified,16813,Female,No,White,45 - 54,72,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,BA,District,at one individual school site,K - 3rd (Elementary School),Ventura County SELPA,Moderate knowledge,Extensive hands-on experience working with students with autism,Ventura County SELPA,72
CAP1011,Special Education Teacher (serving on a single school site),Not sure, ,Visual Supports (VS),Prompting (PP),Exercise (ECE),3,Prompting,Prompting,PP,33.33333333,66.66666667,0,2, ,2, , ,0,2,0,1,34.33333333,6.027713773,1.548184611,0,1,0,R_1ikrLWoFBdrDaea,R_27j527dHul9LPBd,Special Education Teacher (serving on a single school site),Not sure, ,Visual Supports (VS),Prompting (PP),Exercise (ECE),ebpP2,Eligible,Ventura County SELPA,Ventura Unified,16813,Female,No,White,45 - 54,72,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,BA,District,at one individual school site,K - 3rd (Elementary School),Ventura County SELPA,Moderate knowledge,Extensive hands-on experience working with students with autism,Ventura County SELPA,72
CAP1011,Special Education Teacher (serving on a single school site),Not sure, ,Visual Supports (VS),Prompting (PP),Exercise (ECE),3,Exercise,Exercise,ECE,33.33333333,0,0,3, , ,3, ,0,2,0,1,101,10.14889157,2.008600172,0,1,0,R_1ikrLWoFBdrDaea,R_27j527dHul9LPBd,Special Education Teacher (serving on a single school site),Not sure, ,Visual Supports (VS),Prompting (PP),Exercise (ECE),ebpP2,Eligible,Ventura County SELPA,Ventura Unified,16813,Female,No,White,45 - 54,72,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,BA,District,at one individual school site,K - 3rd (Elementary School),Ventura County SELPA,Moderate knowledge,Extensive hands-on experience working with students with autism,Ventura County SELPA,72
CAP1022,Special Education Teacher (serving on a single school site),No, ,Visual Supports (VS),Functional Behavior Assessment (FBA),Prompting (PP),3,Visual Supports,Visual Supports,VS,60,95,0,1,1, , , ,1,1,0,1,6,2.828427125,0.84509804,1,2,1,R_yIyunMKSx90NxhD,R_2ZBUaMeoliqQHMN,Special Education Teacher (serving on a single school site),No, ,Visual Supports (VS),Functional Behavior Assessment (FBA),Prompting (PP),ebpP2,Eligible,San Diego North Coastal SELPA,Del Mar Union Elementary,4453, , , , ,45,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,Masters,District,at one individual school site,"K - 3rd (Elementary School),4 - 6th (Elementary School)",North Coastal (San Diego) SELPA,Extensive knowledge,Extensive hands-on experience working with students with autism,North Coastal (San Diego) SELPA,35
CAP1022,Special Education Teacher (serving on a single school site),No, ,Visual Supports (VS),Functional Behavior Assessment (FBA),Prompting (PP),3,Prompting,Prompting,PP,66.66666667,94.44444444,0,3, , ,3, ,0,1,0,1,6.555555556,2.924988129,0.878266403,1,2,1,R_yIyunMKSx90NxhD,R_2ZBUaMeoliqQHMN,Special Education Teacher (serving on a single school site),No, ,Visual Supports (VS),Functional Behavior Assessment (FBA),Prompting (PP),ebpP2,Eligible,San Diego North Coastal SELPA,Del Mar Union Elementary,4453, , , , ,45,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,Masters,District,at one individual school site,"K - 3rd (Elementary School),4 - 6th (Elementary School)",North Coastal (San Diego) SELPA,Extensive knowledge,Extensive hands-on experience working with students with autism,North Coastal (San Diego) SELPA,35
CAP1022,Special Education Teacher (serving on a single school site),No, ,Visual Supports (VS),Functional Behavior Assessment (FBA),Prompting (PP),3,Functional Behavior Assessment,Functional Behavior Assessment,FBA,50,88.23529412,0,2, ,2, , ,0,1,0,1,12.76470588,3.84248694,1.138766936,1,2,1,R_yIyunMKSx90NxhD,R_2ZBUaMeoliqQHMN,Special Education Teacher (serving on a single school site),No, ,Visual Supports (VS),Functional Behavior Assessment (FBA),Prompting (PP),ebpP2,Eligible,San Diego North Coastal SELPA,Del Mar Union Elementary,4453, , , , ,45,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,Masters,District,at one individual school site,"K - 3rd (Elementary School),4 - 6th (Elementary School)",North Coastal (San Diego) SELPA,Extensive knowledge,Extensive hands-on experience working with students with autism,North Coastal (San Diego) SELPA,35
CAP1038,Special Education Teacher (serving on a single school site),No, ,Reinforcement (R+),Social Skills Training (SST),Modeling (MD),3,Reinforcement,Reinforcement,R,0,100,0,1,1, , , ,1,1,0,1,1,1.732050808,0.301029996,1,3,1,R_3nqpalAbVD4QL0R,R_2vcwJQsaivFLxM8,Special Education Teacher (serving on a single school site),No, ,Reinforcement (R+),Social Skills Training (SST),Modeling (MD),ebpP2,Eligible,Napa County SELPA,Napa Valley Unified,16750,Female,No,White,45 - 54,31,3,school,DSP,Direct Service Provider,Special Education Teacher (serving on a single school site),Education Specialist Credential - Special Education Mild Moderate,Masters,District,at one individual school site,Post Secondary (18-22), ,Moderate knowledge,Extensive hands-on experience working with students with autism,Napa County SELPA,33
